,ab,ab_hgt
0,3,2
1,4,2
2,5,2
3,5,2
4,5,2
5,5,2
6,6,2
7,7,2
8,8,2
9,8,2
10,8,2
11,9,2
12,10,2
13,9,2
14,8,2
15,8,3
16,7,3
17,8,4
18,9,4
19,9,5
20,10,5
21,9,5
22,9,5
23,8,5
24,8,6
25,8,5
26,8,6
27,7,5
28,7,6
29,8,6
30,9,6
31,9,7
32,8,6
33,8,6
34,8,6
35,9,6
36,9,7
37,10,6
38,9,6
39,9,6
40,9,6
41,10,6
42,10,6
43,11,6
0,3,2
1,4,2
2,5,2
3,5,2
4,6,2
5,6,2
6,7,2
7,7,2
8,8,2
9,8,2
10,6,2
11,7,2
12,7,2
13,7,2
14,7,3
15,8,3
16,8,4
17,9,4
18,9,4
19,10,4
20,10,4
21,10,4
22,10,4
23,9,4
24,9,5
25,9,5
26,9,4
27,10,5
28,10,5
29,10,5
30,10,5
31,10,6
32,10,6
33,11,7
0,3,2
1,3,2
2,4,2
3,5,2
4,6,2
5,5,2
6,5,3
7,5,3
8,5,4
9,6,4
10,7,4
11,7,5
12,7,4
13,6,4
14,6,5
15,6,5
16,7,5
17,7,6
18,8,6
19,8,6
20,9,5
21,10,5
22,11,6
